"A acocote nuevo, tlachiquero viejo."
Sácale la vuelta a un cojo y ponle la cruz a un calvo.
"Sacristán que ceras vende, que son robadas bien se entiende."
"Sacristán que vende cera y no tiene cerería, ¿De dónde la sacaría?"
Sale más cara una gorra que un sombrero galoneado.
"San Agustín predicando, pierde ante un burro negando."
¿San Juan vino por aquí? - Por aquí vino.
San Pascual Bailón: atiza mi fogón.
"Sanazón, comezón."
Santa Lucía: la más larga noche y el más corto día.
"Santa Rita, Santa Rita, lo que se da no se quita."
Santo era Pedro y negó a su Maestro.
"Santo que no es visto, no es adorado."
"Santo y santa que mean, en ellos no crean."
"Sastres y zapateros, mal hechos, informales y tracaleros."
"Satisfacción no pedida, acusación manifiesta."
"Se acabó el alcohol, se acabó la amistad."
"Se acabó el dinero, se acabó el amor."
"Se agradece lo fingido, como si fuera de veras."
Se coge antes a un mentiroso que a un cojo.
Se corre más de miedo que apostando.
"Se dice el milagro, pero no el santo que lo hizo."
Se dice el pecado pero no el pecador.
Se ensilla como en Castilla; primero poniendo el freno...
...y hasta después la silla.
Se está muriendo mucha gente que no se había muerto antes.
Se hace pesado el difunto cuando siente que lo cargan.
Se me hace muy poco azul para tan hermoso cielo.
"Secreto de dos, secreto de Dios; secreto de tres, de todos es."
"Secreto de más de dos, no lo es."
"Según es la familia, así da Dios."
"Según San Andrés, quien parece bruto, lo es."
"Según Sancho, no hay pariente pobre."
"Señor Alcalde Mayor, ¿por qué prende a los ladrones?...."
...Usted mismo tiene una hija que roba los corazones.
Si al enfermo tres médicos van; toque de muerte da el sacristán.
Si al hablar no has de agradar; lo mejor será callar.
"Si al póker quieres ganar, no te canses de pasar."
Si alguien se ve mal herido por alguna calavera;
"...no se de por aludido, eso le pasa a cualquiera."
"Si alimentas un lechón, obtendrás un puerco."
"Si avanzo ¡síganme!, si me detengo ¡empújenme!..."
"...y si retrocedo, ¡mátenme!."
Si bien es cierto que en términos de ganadería el alimento de dos...
...puede ser compartido por tres o hasta por cuatro; ¡pero no llenan!
"Si buen consejo tomara, otro gallo le cantara."
"Si buscas al tecolote, en el monte lo has de hallar;..."
"...al paso de media noche, empieza a cucurruquear."
"Si comes frijoles, no eructes jamón."
"Si como lo mueve lo bate, ¡ah que rico chocolate!.(Si como lo menea..)."
"Si con atolito el enfermo va sanando, atolito vámosle dando."
"Si con el cántaro sudas, que será con el chochocol."
"Si con refranes y no con leyes se gobernara,..."
...el mundo andaría mejor que anda.
"Si crees que eres un león, no actúes como ratón."
"Si dan las doce y mi vieja no ha llegado, seguro llega hasta mañana."
"Si de aquí p'a allá es subida, de allá p'aca es bajada."
"Si de Dios hablan, de mi, que no dirán."
"Si de vecinos se pega, cuantimás viviendo juntos."
"Si del cielo te caen limones, aprende a hacer limonada."
"Si Dios fuera mujer, el cielo sería rosa."
"Si Dios hiciera de pulque el mar, me volvería pato para nadar."
"Si dos montan a caballo, de seguro uno va atrás."
"Si dos perros corretean a una liebre y el de adelante no la alcanza,..."
"...el de atrás, menos."
"Si el agua destruye los caminos, ¿Qué no hará con los intestinos?."
"Si el corazón fuera de acero, no le venciera el dinero."
"Si el correcaminos no ganó, es porque perdió o empató."
Si el cura se resfría; hasta el monaguillo tose.
"Si el padrino es codo, el ahijado sale pedorro."
"Si el trabajo no cansara, no habría putas en las esquinas."
Si el vicio entorpece tu trabajo; deja el trabajo.
"Si el vino te tiene loco, déjalo poquito a poco."
"Si en la vida te maltratan, entre más te chingan, más te encanta."
Si encerraran a todos los tarugos en un cuarto;...
...no habría quien cerrara la puerta.
"Si es a gusto del que paga, que renieguen los mirones."
"Si es de chaqueta que pase, si es de blusa que espere."
"Si es indio, ya se murió, si es español ya corrió."
"Si esa araña me picara, San Jorge sería pendejo."
"Si esa es la muestra, ya no me enseñe el tercio."
"Si eso dice mamón blando, que dirá pambazo duro."
"Si eso dice pan de huevo, que dirá semita de agua."
"Si eso hace de pretendiente, qué no hará de arrepentido."
"Si hay alguna semejanza que maltrate tu conciencia,"
"no hay dolo en la semblanza, es purita coincidencia."
"Si hay buen hambre, no hay mal pan."
"Si he sabido que te pees, no te aprieto el aparejo."
"Si he sabido que te zurras, ni los calzones te pongo."
Si hubiera parque no estaría usted aquí.
"Si hubiera parque,..... estaríamos en los columpios."
"Si la amistad pretendes que sea durable,..."
...visita a tus amigos de tarde en tarde.
"Si la belleza fuera pecado, usted no tendría perdón de Dios."
"Si la envidia fuera tiña, que de tiñosos habría,."
"Si la montaña no viene a Mahoma, Mahoma va a la montaña."
"Si la mujer fuera buena, Dios tendría una."
"Si las penas con pan son menos, con dinero no son penas."
"Si la perra es brava, hasta a los de casa muerde."
"Si la tenemos nos choca, si se nos va, la extrañamos."
"Si las cosas que valen la pena fueran fáciles, cualquiera las haría."
"Si le aprieta al buey el yugo, aflójale las correas."
"Si les gusta el ruido, ruido."
"Si lloras porque el sol se ha ido, ..."
...las lágrimas te impedirán ver las estrellas.
"Si lloras porque se fueron, ya llorarás cuando vuelvan."
"Si lo bueno es breve, es dos veces bueno."
"Si lo que enseña es la muestra, ya no destape el guacal."
"Si lo que te honra no exhibes, lo que te deshonra oculta."
Si lo uso me da SIDA y si no lo uso se me oxida.
"Si los años hicieran sabios, no habría viejos pendejos."
"Si los perros de adelante no alcanzan la liebre,..."
... cuantimenos los de atrás.
Si malo es san Juan de Dios peor es Jesús Nazareno.
"Si me muero lo perdono, si me alivio, ya veremos."
"Si me pegan porque me peo, que me peguen porque me cago."
"Si me viste, te reíste y si no, te jodíste."
"Si mi memoria no me falla, desde tiempos muy remotos,..."
...nunca ha faltado un tarugo que pague los platos rotos.
"Si mi tía tuviera ruedas, sería bicicleta."
"Si muere Martha, que muera harta."
"Si no actúas como piensas, acabarás pensando como actúas."
"Si no entiendes ni el bendito, cómo hablas de los misterios."
"Si no le gusta como hago los adobes, éntrele a batirle un poco."
"Si no le ibas a echar un pial, pos pa'que andarla alebrestando."
"Si no le pusiste chile, no pretendas que te sepa."
"Si no le tienes cariño a tu dinero, métete de minero."
Si no llegó es porque no vino.
"Si no llueve p'a el día último, ya no llovió este mes."
"Si no puedes morder, no enseñes los dientes."
"Si no quieres que nadie se entere, no lo hagas."
Si no se quita el noveno y el sexto no se rebaja;...
"...ya podrá Diosito bueno, llenar su cielo con paja."
"Si no te alcanza, no repartas."
"Si no te gusta la danza, te voy a tocar un vals."
"Si no te las dan, es porque no se las pides."
"Si no te presto la yegua, cuantimenos la potranca."
"Si nos hemos de enojar porque no me has de pagar,..."
"...enojémonos ahora, pues no te voy a prestar."
"Si pago en el otro mundo, aunque me aumenten la cuenta."
"Si para comer un pedazo de tasajo he de sobarme el lomo,..."
"...entonces la verdad, mejor no como."
"Si pides y no te dan, cuando menos te agradecen."
"Si pretendes mole, cuida la olla."
"Si quiere la gloria verme, que venga la gloria acá."
"Si quieres cuidar tu raza, a la india con indio casa"
"Si quieres fortuna y fama, que no te halle el sol en la cama."
"Si quieres la paz, prepárate para la guerra."
"Si quieres que alguien se ría, cuenta tus penas María."
"Si quieres que lo sepa tu enemigo, platícaselo a tu amigo."
"Si quieres saber el valor de un peso, pídelo prestado."
Si quieres saber quien es Periquillo; dale un destinillo.
"Si quieres saber quien es, vive con él un mes."
"Si quieres saber si tu nuera es cochina,..."
...entra primero al baño y a la cocina.
"Si quieres ser bien servido, sírvete a ti mismo."
"Si quieres ser rico, no te des mucho a los libros."
"Si quieres servir de veras, da el consejo y el tostón."
"Si quieres tu lumbre apagar, echa tortillas a calentar."
"Si quieres vender, vende barato."
"Si quieres vivir como pobre, compra como rico."
"Si se alivió, fue la virgen, si se murió, fue el doctor."
Si se atora en mi rebozo la culpa es del repacejo.
"Si se te cierra una puerta, otra hallarás abierta."
"Si son muchos, ¡corremos!, si son pocos, ¡nos escondemos! y..."
"...si no es nadie, ¡A pelear mis valientes, que para morir nacimos!."
"Si te aguantas un tornillo, te saco una cacariza."
"Si te hacen tu carbonato, hazles su chocolatito."
Si te huelen el miedo estás perdido.
"Si tienes un hijo varón, no llames a otro, ladrón."
"Si toda el agua del mar fuera tinta y los peces escribanos,..."
...no alcanzarían para describir la maldad de los poblanos.
"Si tú eres el mismo diablo, yo seré tu San Miguel."
"Si tu mal tiene cura, que te apura y si no tiene cura, que te apura."
"Si tu mal tiene remedio, de que te preocupas,..."
"...y si no lo tiene, de que te preocupas."
"Si tú no vas al entierro de tus amigos, ellos irán al tuyo."
"Si tú supieras, dice el viejo; Si tú pudieras, dice el joven."
"Si una puerta se te cierra, mil te quedan."
"Si una vela se te apaga, que otra te quede encendida."
Si unos brazos te desprecian otros te están esperando.
"Si ves a un hombre joven a la orilla del mar, no le regales pescado..."
"...pues comerá un día, enséñalo a pescar y comerá toda la vida."
"Si ves las estrellas mirar, sal marinero a la mar."
Si el río suena es que agua lleva.
"Si eres yunque, aguanta como yunque; si eres martillo,..."
...golpea como martillo.
"Siembro granos y recojo granos, siembro hombres..."
"...y recojo gusanos, dijo el sepulturero."
Siempre al peor santo se le cuelgan los peores milagros.
"Siempre el que censura y contradice,..."
...es quien menos entiende lo que dice.
Siempre es más verde el pasto al otro lado de la verja.
Siempre espero lo peor y resulta peor de lo que esperaba.
Siempre estira más un pelo que una reata de Chavinda.
Siempre hay un roto para un descosido.
Siempre la mula será medio asno.
"Siempre que llueve, escampa."
"Siempre que miro guacales, me acuerdo de mis gallinas."
Siempre se quiebra la soga por lo más delgado.
Siéntate a la puerta de tu tienda...
...y verás el cadáver de tu enemigo pasar.
Siente un gato que otro arañe.
"Siete vidas tiene el gato y la mujer, tres o cuatro."
Sin comentarios: adiós hijos míos yo ya me voy...
"...y los dejo para que el más vivo, viva del más pendejo."
"Sin contar a la mujer, lo más traidor es el vino."
"Sin dinero, ricos, sin nobleza, godos;..."
...entre sí parientes y enemigos todos.
Sin encomendarse a Dios ni al diablo. (Sin pensar)
"Sin espuelas ni freno, no hay caballo bueno."
Sobre advertencia no hay engaño.
Solamente las gallinas se acuestan a la oración.
"Solitas bajan al agua, sin que nadie las arree."
Solitos: Ni amos a quien servir ni criados a quien mandar.
"Sólo al que le aprieta el zapato, sabe donde le duele."
"Sólo Dios es español, todos los demás son indios."
Sólo al pie de la palma riega el coyol.
Sólo cuando hay remolino se levanta la basura.
"Sólo el que carga el cajón, sabe lo que pesa el muerto."
Sólo el que carga el costal (morral) sabe lo que lleva adentro.
"Sólo el que de amor hiere, sanar la herida puede."
Sólo el que ha muerto sabe lo que son responsos.
Sólo el que lleva la cruz sabe lo que pesa.
"Sólo el que no monta, no cae."
"Sólo el sobrepaso es paso, lo demás todo es mondinga."
"Sólo es ladrón el que roba y deja, al robar, las uñas."
"Sólo hay de dos sopas, de fideos y de jodeos..."
...y la de fideos ya se acabó.
Solo la cuchara sabe lo que tiene adentro la olla.
Sólo las ollas saben los hervores de su caldo.
Sólo le queda lo que a los barriles viejos: los aros y el olor.
Sólo los guajolotes mueren la víspera.
"Sólo pedo o dormido, no se siente lo jodido."
"Sólo pido que me pongan donde hay, que de tomar yo me encargo."
"Sólo que se seque el mar, no me bañaré en sus olas."
Sólo sé que nada sé.
"Sólo tienta Satanás, al que se deja tentar."
"Sombrero que no da sombra, no es ni sombra de sombrero."
Son amigos del camino pero no del itacate.
"Son como cubos de noria, unos suben y otros bajan."
"Son como el ajonjolí, que en todos los moles andan."
"Son como el apóstol trece, comen y desaparecen."
"Son como las galletas de animalitos, corrientes pero sabrosas."
Son de los que muriendo matan.
Son más calientes las tardes que las mañanas.
Son más las echadas que las que están poniendo.
Son muchos los diablos y poca el agua bendita.
Son muchos los que jalan y poca la cobija.
"Son tus brincos como los del sapo, pa'caer en el mismo lugar."
"Sopa de muchas cocineras, sale quemada."
Soplar y sorber; no puede ser.
"Suegra, ni de azúcar es buena."
Suela y vino andan camino.
Suele costar más lo accesorio que lo principal.
¡Suerte injusta!; al rico se le muere la suegra...
...y al pobre se le muere la burra.
Suerte negra es; no tener madre y tener suegra.
"Suerte te de Dios, que el saber poco te importa."
"Suspiras cerca de mí, es señal que no es por mí."
"Tacones que no hacen ruido, de pendejo o de bandido."
"Tal para cual, cada botón a su ojal."
También al verdugo azotan.
También de dolor se canta; cuando llorar no se puede.
También de maduras caen aunque no se haga la lucha.
"También en San Juan hace aire, con todo y que está en el llano."
También en San Juan hace aire y uno que otro ventarrón.
También los de levita quitan frazada.
Tan bueno el giro como el colorado.
Tan cierto como que dos y dos son cinco.
Tan diplomático como una patada en el trasero.
Tan peor el pinto como el amarillo.
Tan presto se va el cordero como el carnero.
"Tango que me hiciste mal. -¿Pos pa'qué te lo comiste, buey?."
Tanto año de verdulera y no saber blasfemar.
"Tanto dura un indio en el pueblo, hasta que lo hacen alcalde."
Tanto le pican al buey hasta que embiste.
"Tanto llevaba a mi amigo a casa de mi amada,..."
....que después el me llevaba.
"Tanto monta, monta tanto Isabel como Fernando."
"Tanto pan, como queso."
"Tanto peca el que mata la vaca, como el que le agarra la pata."
"Tanto peca el que raspa el maguey, como el que saca el aguamiel."
Tanto pedo pa'cagar aguado.
Tanto quiere el compadre al ahijado; hasta que le saca un ojo.
Tanto quiere el diablo a su hijo; hasta que le saca un ojo.
Tanto tiempo de atolera y no saberlo menear.
"Tanto tienes, tanto vales."
Tanto va el cántaro al agua; hasta que se queda adentro.
"Tanto vale el conjunto, cuanto valen sus componentes."
